0,4000,heart_rate blood_pressure oxygen_level blood_sugar respiration ecg body_temp sleep_status
1,500,heart_rate
2,1500,heart_rate respiration ecg
3,500,heart_rate
4,1500,heart_rate respiration ecg
5,500,heart_rate
6,1500,heart_rate respiration ecg
7,500,heart_rate
8,1500,heart_rate respiration ecg
9,500,heart_rate
10,2500,heart_rate oxygen_level blood_sugar respiration ecg
11,500,heart_rate
12,1500,heart_rate respiration ecg
13,500,heart_rate
14,1500,heart_rate respiration ecg
15,500,heart_rate
16,1500,heart_rate respiration ecg
17,500,heart_rate
18,1500,heart_rate respiration ecg
19,500,heart_rate
20,2500,heart_rate oxygen_level blood_sugar respiration ecg
21,500,heart_rate
22,1500,heart_rate respiration ecg
23,500,heart_rate
24,1500,heart_rate respiration ecg
25,500,heart_rate
26,1500,heart_rate respiration ecg
27,500,heart_rate
28,1500,heart_rate respiration ecg
29,500,heart_rate
30,2500,heart_rate oxygen_level blood_sugar respiration ecg
31,500,heart_rate
32,1500,heart_rate respiration ecg
33,500,heart_rate
34,1500,heart_rate respiration ecg
35,500,heart_rate
36,1500,heart_rate respiration ecg
37,500,heart_rate
38,1500,heart_rate respiration ecg
39,500,heart_rate
40,2500,heart_rate oxygen_level blood_sugar respiration ecg
41,500,heart_rate
42,1500,heart_rate respiration ecg
43,500,heart_rate
44,1500,heart_rate respiration ecg
45,500,heart_rate
46,1500,heart_rate respiration ecg
47,500,heart_rate
48,1500,heart_rate respiration ecg
49,500,heart_rate
50,2500,heart_rate oxygen_level blood_sugar respiration ecg
51,500,heart_rate
52,1500,heart_rate respiration ecg
53,500,heart_rate
54,1500,heart_rate respiration ecg
55,500,heart_rate
56,1500,heart_rate respiration ecg
57,500,heart_rate
58,1500,heart_rate respiration ecg
59,500,heart_rate
60,2500,heart_rate oxygen_level blood_sugar respiration ecg
61,500,heart_rate
62,1500,heart_rate respiration ecg
63,500,heart_rate
64,1500,heart_rate respiration ecg
65,500,heart_rate
66,1500,heart_rate respiration ecg
67,500,heart_rate
68,1500,heart_rate respiration ecg
69,500,heart_rate
70,2500,heart_rate oxygen_level blood_sugar respiration ecg
71,500,heart_rate
72,1500,heart_rate respiration ecg
73,500,heart_rate
74,1500,heart_rate respiration ecg
75,500,heart_rate
76,1500,heart_rate respiration ecg
77,500,heart_rate
78,1500,heart_rate respiration ecg
79,500,heart_rate
80,2500,heart_rate oxygen_level blood_sugar respiration ecg
81,500,heart_rate
82,1500,heart_rate respiration ecg
83,500,heart_rate
84,1500,heart_rate respiration ecg
85,500,heart_rate
86,1500,heart_rate respiration ecg
87,500,heart_rate
88,1500,heart_rate respiration ecg
89,500,heart_rate
90,2500,heart_rate oxygen_level blood_sugar respiration ecg
91,500,heart_rate
92,1500,heart_rate respiration ecg
93,500,heart_rate
94,1500,heart_rate respiration ecg
95,500,heart_rate
96,1500,heart_rate respiration ecg
97,500,heart_rate
98,1500,heart_rate respiration ecg
99,500,heart_rate
100,2500,heart_rate oxygen_level blood_sugar respiration ecg
101,500,heart_rate
102,1500,heart_rate respiration ecg
103,500,heart_rate
104,1500,heart_rate respiration ecg
105,500,heart_rate
106,1500,heart_rate respiration ecg
107,500,heart_rate
108,1500,heart_rate respiration ecg
109,500,heart_rate
110,2500,heart_rate oxygen_level blood_sugar respiration ecg
111,500,heart_rate
112,1500,heart_rate respiration ecg
113,500,heart_rate
114,1500,heart_rate respiration ecg
115,500,heart_rate
116,1500,heart_rate respiration ecg
117,500,heart_rate
118,1500,heart_rate respiration ecg
119,500,heart_rate
120,2500,heart_rate oxygen_level blood_sugar respiration ecg
121,500,heart_rate
122,1500,heart_rate respiration ecg
123,500,heart_rate
124,1500,heart_rate respiration ecg
125,500,heart_rate
126,1500,heart_rate respiration ecg
127,500,heart_rate
128,1500,heart_rate respiration ecg
129,500,heart_rate
130,2500,heart_rate oxygen_level blood_sugar respiration ecg
131,500,heart_rate
132,1500,heart_rate respiration ecg
133,500,heart_rate
134,1500,heart_rate respiration ecg
135,500,heart_rate
136,1500,heart_rate respiration ecg
137,500,heart_rate
138,1500,heart_rate respiration ecg
139,500,heart_rate
140,2500,heart_rate oxygen_level blood_sugar respiration ecg
141,500,heart_rate
142,1500,heart_rate respiration ecg
143,500,heart_rate
144,1500,heart_rate respiration ecg
145,500,heart_rate
146,1500,heart_rate respiration ecg
147,500,heart_rate
148,1500,heart_rate respiration ecg
149,500,heart_rate
150,2500,heart_rate oxygen_level blood_sugar respiration ecg
151,500,heart_rate
152,1500,heart_rate respiration ecg
153,500,heart_rate
154,1500,heart_rate respiration ecg
155,500,heart_rate
156,1500,heart_rate respiration ecg
157,500,heart_rate
158,1500,heart_rate respiration ecg
159,500,heart_rate
160,2500,heart_rate oxygen_level blood_sugar respiration ecg
161,500,heart_rate
162,1500,heart_rate respiration ecg
163,500,heart_rate
164,1500,heart_rate respiration ecg
165,500,heart_rate
166,1500,heart_rate respiration ecg
167,500,heart_rate
168,1500,heart_rate respiration ecg
169,500,heart_rate
170,2500,heart_rate oxygen_level blood_sugar respiration ecg
171,500,heart_rate
172,1500,heart_rate respiration ecg
173,500,heart_rate
174,1500,heart_rate respiration ecg
175,500,heart_rate
176,1500,heart_rate respiration ecg
177,500,heart_rate
178,1500,heart_rate respiration ecg
179,500,heart_rate
180,2500,heart_rate oxygen_level blood_sugar respiration ecg
181,500,heart_rate
182,1500,heart_rate respiration ecg
183,500,heart_rate
184,1500,heart_rate respiration ecg
185,500,heart_rate
186,1500,heart_rate respiration ecg
187,500,heart_rate
188,1500,heart_rate respiration ecg
189,500,heart_rate
190,2500,heart_rate oxygen_level blood_sugar respiration ecg
191,500,heart_rate
192,1500,heart_rate respiration ecg
193,500,heart_rate
194,1500,heart_rate respiration ecg
195,500,heart_rate
196,1500,heart_rate respiration ecg
197,500,heart_rate
198,1500,heart_rate respiration ecg
199,500,heart_rate
200,2500,heart_rate oxygen_level blood_sugar respiration ecg
201,500,heart_rate
202,1500,heart_rate respiration ecg
203,500,heart_rate
204,1500,heart_rate respiration ecg
205,500,heart_rate
206,1500,heart_rate respiration ecg
207,500,heart_rate
208,1500,heart_rate respiration ecg
209,500,heart_rate
210,2500,heart_rate oxygen_level blood_sugar respiration ecg
211,500,heart_rate
212,1500,heart_rate respiration ecg
213,500,heart_rate
214,1500,heart_rate respiration ecg
215,500,heart_rate
216,1500,heart_rate respiration ecg
217,500,heart_rate
218,1500,heart_rate respiration ecg
219,500,heart_rate
220,2500,heart_rate oxygen_level blood_sugar respiration ecg
221,500,heart_rate
222,1500,heart_rate respiration ecg
223,500,heart_rate
224,1500,heart_rate respiration ecg
225,500,heart_rate
226,1500,heart_rate respiration ecg
227,500,heart_rate
228,1500,heart_rate respiration ecg
229,500,heart_rate
230,2500,heart_rate oxygen_level blood_sugar respiration ecg
231,500,heart_rate
232,1500,heart_rate respiration ecg
233,500,heart_rate
234,1500,heart_rate respiration ecg
235,500,heart_rate
236,1500,heart_rate respiration ecg
237,500,heart_rate
238,1500,heart_rate respiration ecg
239,500,heart_rate
240,3000,heart_rate oxygen_level blood_sugar respiration ecg sleep_status
241,500,heart_rate
242,1500,heart_rate respiration ecg
243,500,heart_rate
244,1500,heart_rate respiration ecg
245,500,heart_rate
246,1500,heart_rate respiration ecg
247,500,heart_rate
248,1500,heart_rate respiration ecg
249,500,heart_rate
250,2500,heart_rate oxygen_level blood_sugar respiration ecg
251,500,heart_rate
252,1500,heart_rate respiration ecg
253,500,heart_rate
254,1500,heart_rate respiration ecg
255,500,heart_rate
256,1500,heart_rate respiration ecg
257,500,heart_rate
258,1500,heart_rate respiration ecg
259,500,heart_rate
260,2500,heart_rate oxygen_level blood_sugar respiration ecg
261,500,heart_rate
262,1500,heart_rate respiration ecg
263,500,heart_rate
264,1500,heart_rate respiration ecg
265,500,heart_rate
266,1500,heart_rate respiration ecg
267,500,heart_rate
268,1500,heart_rate respiration ecg
269,500,heart_rate
270,2500,heart_rate oxygen_level blood_sugar respiration ecg
271,500,heart_rate
272,1500,heart_rate respiration ecg
273,500,heart_rate
274,1500,heart_rate respiration ecg
275,500,heart_rate
276,1500,heart_rate respiration ecg
277,500,heart_rate
278,1500,heart_rate respiration ecg
279,500,heart_rate
280,2500,heart_rate oxygen_level blood_sugar respiration ecg
281,500,heart_rate
282,1500,heart_rate respiration ecg
283,500,heart_rate
284,1500,heart_rate respiration ecg
285,500,heart_rate
286,1500,heart_rate respiration ecg
287,500,heart_rate
288,1500,heart_rate respiration ecg
289,500,heart_rate
290,2500,heart_rate oxygen_level blood_sugar respiration ecg
291,500,heart_rate
292,1500,heart_rate respiration ecg
293,500,heart_rate
294,1500,heart_rate respiration ecg
295,500,heart_rate
296,1500,heart_rate respiration ecg
297,500,heart_rate
298,1500,heart_rate respiration ecg
299,500,heart_rate
300,2500,heart_rate oxygen_level blood_sugar respiration ecg
